,sample,type,vix,ivp_252,vix_5d_change,ddath,ddath_change_5d,above_ma50,ma50_slope_5d,year,bk_vix,bk_ivp,bk_vix5d,bk_ddath,is_first_in_cluster,h1_cash,h2_bps_nnb_counterfactual,h3_short_dte_bps,h4_small_ic,h5_bcs,credit_est,max_loss,sigma_14d,fwd_ret,spx_fwd_5d,spx_fwd_10d,spx_fwd_20d,vix_fwd_5d,vix_fwd_10d,vix_fwd_20d,stress_in_next_5d,stress_in_next_10d,stress_in_next_20d,second_leg_in_next_20d,second_leg_in_next_60d
2024-10-15,primary,C_high_vol_controlled,20.639999389648438,93.22709163346613,-0.7800006866455078,-0.007609466332438197,-0.0056398113063522715,1,42.47838867187511,2024,3_19-22,3_85+,1_falling,1_0_to_-2,False,3.0670097388224877,0.0,1166.1354581673306,679.6812749003984,922.9083665338645,1216.1354581673306,1283.8645418326694,282.90625312096444,-0.01763804685476955,0.0061803653037049155,0.0030368645532212746,0.029015121516564824,-2.4399986267089844,-1.2999992370605469,-5.929999351501465,0.0,0.0,1.0,0.0,0.0
2024-10-16,primary,C_high_vol_controlled,19.579999923706055,89.64143426294821,-1.2800006866455078,-0.002965926179485656,-0.002965926179485656,1,47.415195312500146,2024,3_19-22,3_85+,1_falling,1_0_to_-2,False,3.1098384240814516,0.0,1148.2071713147411,668.9243027888447,908.5657370517929,1198.2071713147411,1301.7928286852589,269.63293570488304,-0.010220069084314054,-0.007710829719643653,-0.004929471937328511,0.02446048721064331,-0.3400001525878906,0.7700004577636719,-5.559999465942383,0.0,0.0,1.0,0.0,0.0
2024-10-17,primary,C_high_vol_controlled,19.110000610351562,87.25099601593625,-1.8199996948242188,-0.003136579009052065,-0.001066456169062091,1,55.09959960937522,2024,3_19-22,3_85+,1_falling,1_0_to_-2,False,3.138390880920761,0.0,1136.2549800796812,661.7529880478087,899.0039840637451,1186.2549800796812,1313.7450199203188,263.1156103082834,0.0149910589283202,-0.005411369124535659,-0.02328523719689779,0.01843708913512465,-0.030000686645507812,4.049999237060547,-4.800000190734863,0.0,1.0,1.0,0.0,0.0
2024-10-18,primary,C_high_vol_controlled,18.030000686645508,82.47011952191235,-2.4299983978271484,0.0,0.0,1,58.639804687500146,2024,2_17-19,2_70-85,1_falling,1_0_to_-2,False,3.19549579459938,0.0,1112.3505976095619,647.4103585657372,879.8804780876495,1162.3505976095619,1337.6494023904381,249.23157654944382,0.018488709036600603,-0.009642453103212434,-0.02316756424444444,0.0010145831550223416,2.299999237060547,3.8499984741210938,-1.8900012969970703,0.0,1.0,1.0,0.0,0.0
2024-10-21,primary,C_high_vol_controlled,18.3700008392334,84.86055776892431,-1.3299999237060547,-0.0018227694906369774,-0.0018227694906369774,1,58.570400390625764,2024,2_17-19,2_70-85,1_falling,1_0_to_-2,False,3.1669433377600704,0.0,1124.3027888446215,654.5816733067728,889.4422310756972,1174.3027888446215,1325.6972111553785,253.4685944076106,0.024181848770588932,-0.005203290930123949,-0.02413572296692179,0.0067714848446707165,1.4299983978271484,3.6099987030029297,-2.7900009155273438,0.0,1.0,1.0,0.0,0.0
2024-10-22,primary,C_high_vol_controlled,18.200000762939453,84.06374501992032,-2.4399986267089844,-0.0022967578298410674,0.00531270850259713,1,56.12800781250007,2024,2_17-19,2_70-85,1_falling,1_0_to_-2,False,3.1764608233731737,696.4674764954691,1120.3187250996016,652.191235059761,886.2549800796813,1170.3187250996016,1329.6812749003984,251.0036929172665,0.025661385242644386,-0.0031241921020143115,-0.0116968190119916,0.011242101271624172,1.1399993896484375,2.289999008178711,-1.8500003814697266,0.0,1.0,1.0,0.0,0.0
2024-10-23,primary,C_high_vol_controlled,19.239999771118164,89.64143426294821,-0.3400001525878906,-0.011466971013860516,-0.00850104483437486,1,51.33899414062489,2024,3_19-22,3_85+,2_flat,1_0_to_-2,False,3.1098384240814516,-1544.5209459582954,1148.2071713147411,668.9243027888447,908.5657370517929,1198.2071713147411,1301.7928286852589,262.907859033632,0.032181610960425155,0.002802971014517208,0.02270322297870253,0.02064538070713695,1.1100006103515625,-2.969999313354492,-2.0799999237060547,0.0,1.0,1.0,0.0,0.0
2024-10-24,primary,C_high_vol_controlled,19.079999923706055,87.64940239043824,-0.030000686645507812,-0.009345804507992939,-0.0062092254989408735,1,45.5925878906246,2024,3_19-22,3_85+,2_flat,1_0_to_-2,False,3.1336321381142094,-2175.7386333084587,1138.2470119521913,662.9482071713147,900.5976095617531,1188.2470119521913,1311.7529880478087,261.2809660848671,0.030210714829896235,-0.017971116416873878,0.028097103581910865,0.023899044197914776,4.079999923706055,-3.880000114440918,-2.2099990844726562,1.0,1.0,1.0,0.0,0.0
2024-10-28,primary,C_high_vol_controlled,19.799999237060547,92.03187250996015,1.4299983978271484,-0.007016576020802523,-0.005193806530165546,1,35.172392578124345,2024,3_19-22,3_85+,3_rising,1_0_to_-2,True,3.081285967242142,-12604.70563261839,1160.1593625498008,676.0956175298805,918.1274900398407,1210.1593625498008,1289.8406374501992,271.7781222760514,0.008087908601375648,-0.0190314582509018,0.030536527311417094,0.02813592073294502,2.1800003051757812,-4.829998970031738,-5.19999885559082,1.0,1.0,1.0,0.0,0.0
2024-10-29,primary,C_high_vol_controlled,19.34000015258789,90.43824701195219,1.1399993896484375,-0.005413774419183226,-0.0031170165893421586,1,29.529589843749818,2024,3_19-22,3_85+,3_rising,1_0_to_-2,False,3.100320938468348,-11035.047961197659,1152.191235059761,671.3147410358566,911.7529880478089,1202.191235059761,1297.808764940239,265.8925902482954,0.010406485281043931,-0.008599493379274126,0.02589960337590891,0.032352571861956836,1.1499996185302734,-4.630000114440918,-5.239999771118164,1.0,1.0,1.0,0.0,0.0
