policy,entry,exit,pnl
MA50/200,2004-04-29,2004-06-03,835.7493610614928
MA50/200,2004-05-24,2004-06-07,20260.096414593267
MA50/200,2004-06-03,2004-07-09,-1091.4573477012814
MA50/200,2004-07-14,2004-08-17,-4440.253545973827
MA50/200,2004-08-05,2004-08-26,12189.948699489945
MA50/200,2004-10-27,2004-12-01,-521.6498856229495
MA50/200,2004-12-03,2005-01-07,-951.6548377350672
MA50/200,2005-01-07,2005-02-11,3505.6122342187164
MA50/200,2005-02-11,2005-03-18,-2892.114750001007
MA50/200,2005-03-18,2005-04-22,-6592.138409145681
MA50/200,2005-04-25,2005-05-27,6842.354013218965
MA50/200,2005-04-28,2005-06-02,8394.196617053349
MA50/200,2005-06-08,2005-07-08,12700.419544045833
MA50/200,2005-07-25,2005-08-26,-4010.5859141166766
MA50/200,2005-08-26,2005-09-30,4415.508128661052
MA50/200,2005-09-30,2005-11-03,-1619.9284309809698
MA50/200,2005-10-18,2005-11-21,-3723.76991176004
MA50/200,2005-11-28,2005-12-22,13629.956674253617
MA50/200,2005-12-22,2006-01-30,4698.271104165846
MA50/200,2006-01-30,2006-03-06,-1490.5776414033758
MA50/200,2006-03-06,2006-04-07,3316.667318151918
MA50/200,2006-04-07,2006-05-12,32.066916527928775
MA50/200,2006-06-19,2006-07-07,12381.339653973444
MA50/200,2006-08-01,2006-08-23,12724.354663488404
MA50/200,2006-09-15,2006-10-19,4963.498091002981
MA50/200,2006-10-19,2006-11-22,7682.309593828472
MA50/200,2006-11-22,2006-12-28,4234.939171573675
MA50/200,2006-12-28,2007-02-05,4297.83189910579
MA50/200,2007-02-05,2007-03-12,-5800.949645753209
MA50/200,2007-03-20,2007-04-24,10220.178172877657
MA50/200,2007-04-24,2007-05-29,6220.712666587576
MA50/200,2007-05-29,2007-07-02,1055.0035435093496
MA50/200,2007-08-08,2007-09-12,6473.3858456612215
MA50/200,2007-09-18,2007-10-17,13031.748579702551
MA50/200,2007-10-26,2007-11-30,2059.6551150734326
MA50/200,2007-11-02,2007-12-06,12848.990177695365
MA50/200,2007-11-13,2007-12-06,4936.211896200384
MA50/200,2007-12-11,2007-12-26,10712.873065171869
MA50/200,2007-12-06,2008-01-11,-9014.026341635326
MA50/200,2007-12-12,2008-01-17,-20174.180583813664
MA50/200,2007-12-31,2008-02-05,-15010.881166489733
MA50/200,2008-01-24,2008-02-14,4367.94297284886
MA50/200,2008-02-27,2008-03-17,6222.121475609228
MA50/200,2008-03-11,2008-04-08,4921.700863692641
MA50/200,2008-03-18,2008-04-09,4488.416969772631
MA50/200,2008-04-10,2008-05-08,12187.98558197489
MA50/200,2008-04-11,2008-05-15,-2307.577886320457
MA50/200,2008-06-18,2008-07-02,6677.379990641165
MA50/200,2008-06-04,2008-07-09,-21729.81218380232
MA50/200,2008-07-16,2008-08-06,4508.952565694193
MA50/200,2008-07-21,2008-08-21,6126.999075168583
MA50/200,2008-09-02,2008-10-06,-37086.49281967826
MA50/200,2008-09-19,2008-10-23,-10567.026507047032
MA50/200,2009-04-17,2009-05-21,4937.404393754703
MA50/200,2009-05-21,2009-06-25,4557.7502319725345
MA50/200,2009-10-21,2009-11-10,6515.679921666666
MA50/200,2009-11-10,2009-11-25,8647.421261699123
MA50/200,2009-11-27,2009-12-14,10015.456075531527
MA50/200,2009-12-17,2010-01-04,10784.364221005566
MA50/200,2010-01-21,2010-02-10,-12715.68321943748
MA50/200,2010-01-11,2010-02-16,-5985.606611956496
MA50/200,2010-02-16,2010-03-02,9914.66622483533
MA50/200,2010-03-05,2010-04-09,8807.208764772178
MA50/200,2010-04-09,2010-05-13,-496.87998909774615
MA50/200,2010-05-27,2010-06-16,8826.770745863265
MA50/200,2010-06-09,2010-07-07,13152.276787914621
MA50/200,2010-06-10,2010-07-07,5042.259873115774
MA50/200,2010-07-07,2010-08-06,4329.195244372351
MA50/200,2010-08-09,2010-08-23,6519.154311264353
MA50/200,2010-08-11,2010-09-03,11929.214481117102
MA50/200,2010-08-12,2010-09-03,11606.872960445973
MA50/200,2010-08-27,2010-10-01,-8933.371959012364
MA50/200,2010-10-01,2010-11-04,-5269.299801510816
MA50/200,2010-11-29,2010-12-10,20741.90330721572
MA50/200,2010-12-07,2011-01-11,7541.674936093164
MA50/200,2011-01-11,2011-02-15,7941.730497042601
MA50/200,2011-03-07,2011-03-18,-11911.824346224852
MA50/200,2011-02-15,2011-03-22,-3236.938846160654
MA50/200,2011-03-25,2011-04-29,6991.741176349613
MA50/200,2011-04-29,2011-06-03,-8266.211656609594
MA50/200,2011-06-23,2011-07-07,21928.593714850715
MA50/200,2011-06-03,2011-07-08,6228.3909522031845
MA50/200,2011-07-11,2011-07-22,12929.129623841114
MA50/200,2011-07-08,2011-08-11,-7048.612668386193
MA50/200,2011-08-17,2011-09-16,4398.022113454646
MA50/200,2011-08-29,2011-10-03,-660.411857233234
MA50/200,2011-09-16,2011-10-13,4318.618616081739
MA50/200,2011-10-10,2011-11-10,4199.6354299856475
MA50/200,2011-10-13,2011-11-16,3658.640868400473
MA50/200,2011-11-10,2011-12-01,10423.832768482229
MA50/200,2011-11-16,2011-12-09,12441.97349201109
MA50/200,2011-11-30,2011-12-14,6014.26828147543
MA50/200,2011-12-08,2011-12-22,5943.464367349829
MA50/200,2011-12-28,2012-02-02,-1384.1296854484958
MA50/200,2012-01-06,2012-02-10,5405.193046587346
MA50/200,2012-02-10,2012-02-24,14565.726648826345
MA50/200,2012-03-06,2012-03-19,22574.237756654788
MA50/200,2012-02-17,2012-03-23,4847.77609357068
MA50/200,2012-03-23,2012-04-27,1686.2771455283137
MA50/200,2012-04-27,2012-06-01,-9710.293418744837
MA50/200,2012-05-24,2012-06-07,1311.1947750243428
