,j0_bp_pct,j0_n_open,j3_bp_pct,j3_n_open
2025-07-08,10.0,1,15.0,1
2025-07-09,10.0,1,15.0,1
2025-07-10,10.0,1,15.0,1
2025-07-11,10.0,1,15.0,1
2025-07-14,10.0,1,15.0,1
2025-07-15,10.0,1,15.0,1
2025-07-16,10.0,1,15.0,1
2025-07-17,10.0,1,15.0,1
2025-07-18,10.0,1,15.0,1
2025-07-21,0.0,0,0.0,0
2025-07-22,0.0,0,0.0,0
2025-07-23,0.0,0,0.0,0
2025-07-24,0.0,0,0.0,0
2025-07-25,10.0,1,15.0,1
2025-07-28,10.0,1,15.0,1
2025-07-29,10.0,1,15.0,1
2025-07-30,10.0,1,15.0,1
2025-07-31,10.0,1,15.0,1
2025-08-01,10.0,1,15.0,1
2025-08-04,10.0,1,15.0,1
2025-08-05,10.0,1,15.0,1
2025-08-06,10.0,1,15.0,1
2025-08-07,10.0,1,15.0,1
2025-08-08,10.0,1,15.0,1
2025-08-11,10.0,1,15.0,1
2025-08-12,10.0,1,15.0,1
2025-08-13,10.0,1,15.0,1
2025-08-14,10.0,1,15.0,1
2025-08-15,10.0,1,15.0,1
2025-08-18,10.0,1,15.0,1
2025-08-19,10.0,1,15.0,1
2025-08-20,10.0,1,15.0,1
2025-08-21,10.0,1,15.0,1
2025-08-22,10.0,1,15.0,1
2025-08-25,10.0,1,15.0,1
2025-08-26,10.0,1,15.0,1
2025-08-27,10.0,1,15.0,1
2025-08-28,20.0,2,30.0,2
2025-08-29,10.0,1,15.0,1
2025-09-01,10.0,1,15.0,1
2025-09-02,20.0,2,30.0,2
2025-09-03,20.0,2,30.0,2
2025-09-04,20.0,2,30.0,2
2025-09-05,20.0,2,30.0,2
2025-09-08,20.0,2,30.0,2
2025-09-09,20.0,2,30.0,2
2025-09-10,20.0,2,30.0,2
2025-09-11,20.0,2,30.0,2
2025-09-12,20.0,2,30.0,2
2025-09-15,20.0,2,30.0,2
2025-09-16,10.0,1,15.0,1
2025-09-17,10.0,1,15.0,1
2025-09-18,10.0,1,15.0,1
2025-09-19,10.0,1,15.0,1
2025-09-22,10.0,1,15.0,1
2025-09-23,10.0,1,15.0,1
2025-09-24,10.0,1,15.0,1
2025-09-25,20.0,2,30.0,2
2025-09-26,20.0,2,30.0,2
2025-09-29,20.0,2,30.0,2
2025-09-30,20.0,2,30.0,2
2025-10-01,20.0,2,30.0,2
2025-10-02,20.0,2,30.0,2
2025-10-03,10.0,1,15.0,1
2025-10-06,10.0,1,15.0,1
2025-10-07,10.0,1,15.0,1
2025-10-08,10.0,1,15.0,1
