variant,entry_date,strategy,pnl,bp_per_contract,pnl_source,expiry_proxy
V1b_weekly_catchup,2004-09-07,Bull Call Diagonal,-2509.9917975152875,13582.855418050105,bootstrap,2004-10-22
V1b_weekly_catchup,2004-09-13,Bull Call Diagonal,-178.1152274724072,4999.444506165982,bootstrap,2004-10-28
V1b_weekly_catchup,2004-09-20,Bull Call Diagonal,-441.73391285552367,8534.041342689172,bootstrap,2004-11-04
V1b_weekly_catchup,2004-09-28,Bull Call Diagonal,-73.23084681908357,4145.1731761238025,bootstrap,2004-11-12
V1b_weekly_catchup,2004-10-04,Bull Call Diagonal,4057.99882048481,9217.156200073738,bootstrap,2004-11-18
V1b_weekly_catchup,2004-10-11,Bull Call Diagonal,-1238.5024263775688,9642.581640524555,bootstrap,2004-11-25
V1b_weekly_catchup,2004-11-02,Bull Put Spread,707.0015135437972,2444.5893089960887,engine_exact_d+0,2004-12-02
V1b_weekly_catchup,2004-11-08,Bull Call Diagonal,1439.0258577591615,7160.588122971167,bootstrap,2004-12-23
V1b_weekly_catchup,2004-11-15,Bull Call Diagonal,412.84255391821614,5153.104459153059,engine_exact_d+0,2004-12-30
V1b_weekly_catchup,2004-11-22,Bull Call Diagonal,1598.3566500412237,5552.539361334584,bootstrap,2005-01-06
V1b_weekly_catchup,2004-11-29,Bull Call Diagonal,615.7257543992396,9635.974304068523,bootstrap,2005-01-13
V1b_weekly_catchup,2004-12-06,Bull Call Diagonal,2571.8054461870784,8030.265177201185,bootstrap,2005-01-20
V1b_weekly_catchup,2004-12-13,Bull Call Diagonal,-4150.703653866487,24025.62733582488,bootstrap,2005-01-27
V1b_weekly_catchup,2004-12-20,Bull Call Diagonal,-701.0326981738483,4610.088923493013,engine_exact_d+0,2005-02-03
V1b_weekly_catchup,2004-12-27,Bull Call Diagonal,-579.9893843943789,7778.469197261979,bootstrap,2005-02-10
V1b_weekly_catchup,2005-01-03,Bull Call Diagonal,-1132.7031181416248,4741.533728109919,bootstrap,2005-02-17
V1b_weekly_catchup,2005-01-10,Bull Call Diagonal,-1095.1509083627307,16061.103576272397,bootstrap,2005-02-24
V1b_weekly_catchup,2005-01-18,Bull Call Diagonal,-912.9527127154284,4860.24106795697,engine_exact_d+0,2005-03-04
V1b_weekly_catchup,2005-02-07,Bull Call Diagonal,1551.4318930745758,8044.908466819222,bootstrap,2005-03-24
V1b_weekly_catchup,2005-02-14,Bull Call Diagonal,5160.111340874685,8349.723531376405,bootstrap,2005-03-31
V1b_weekly_catchup,2005-02-28,Bull Call Diagonal,-597.8333320991974,4431.838326537848,bootstrap,2005-04-14
V1b_weekly_catchup,2005-03-07,Bull Call Diagonal,2672.98359142563,6395.315786481723,bootstrap,2005-04-21
V1b_weekly_catchup,2005-03-14,Bull Call Diagonal,2236.840650287839,12444.690265486724,bootstrap,2005-04-28
V1b_weekly_catchup,2005-05-04,Iron Condor,-136.7386816868777,9670.348562341513,bootstrap,2005-06-03
V1b_weekly_catchup,2005-05-09,Iron Condor,603.7296608769595,4409.775983380045,bootstrap,2005-06-08
V1b_weekly_catchup,2005-05-18,Bull Call Diagonal,6575.273146965152,13918.960717599752,bootstrap,2005-07-02
V1b_weekly_catchup,2005-05-23,Bull Call Diagonal,6047.208397507848,20096.46302250804,bootstrap,2005-07-07
V1b_weekly_catchup,2005-05-31,Bull Call Diagonal,2102.9299544250293,7738.873220059159,bootstrap,2005-07-15
V1b_weekly_catchup,2005-06-06,Bull Call Diagonal,8981.655249358733,21343.19863403529,bootstrap,2005-07-21
