variant,entry_date,exit_date,exit_reason,strategy,kind,credit,max_loss,pnl,spx_entry,vix_entry,ivp_entry
BaselineB_cluster_30d,2005-09-30,2005-10-06,ic_combined,Iron Condor,ic,570.3333333333334,548.1666666666666,323.3875801506192,1228.81005859375,11.920000076293945,21.1
BaselineB_cluster_30d,2005-09-30,2005-10-06,ic_combined,Iron Condor,ic,570.3333333333334,548.1666666666666,323.3875801506192,1228.81005859375,11.920000076293945,21.1
BaselineB_cluster_30d,2005-09-30,2005-10-06,ic_combined,Iron Condor,ic,570.3333333333334,548.1666666666666,323.3875801506192,1228.81005859375,11.920000076293945,21.1
BaselineB_cluster_30d,2005-10-31,2005-11-14,ic_combined,Iron Condor,ic,810.6666666666666,428.0,560.3492771180161,1207.010009765625,15.319999694824219,93.2
BaselineB_cluster_30d,2005-10-31,2005-11-14,ic_combined,Iron Condor,ic,810.6666666666666,428.0,560.3492771180161,1207.010009765625,15.319999694824219,93.2
BaselineB_cluster_30d,2005-10-31,2005-11-14,ic_combined,Iron Condor,ic,810.6666666666666,428.0,560.3492771180161,1207.010009765625,15.319999694824219,93.2
BaselineB_cluster_30d,2005-10-31,2005-11-14,ic_combined,Iron Condor,ic,810.6666666666666,428.0,560.3492771180161,1207.010009765625,15.319999694824219,93.2
BaselineB_cluster_30d,2005-11-30,2005-12-14,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1249.47998046875,12.0600004196167,29.5
BaselineB_cluster_30d,2005-11-30,2005-12-14,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1249.47998046875,12.0600004196167,29.5
BaselineB_cluster_30d,2005-11-30,2005-12-14,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1249.47998046875,12.0600004196167,29.5
BaselineB_cluster_30d,2005-11-30,2005-12-14,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1249.47998046875,12.0600004196167,29.5
BaselineB_cluster_30d,2005-12-30,2006-01-13,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1248.2900390625,12.069999694824219,34.3
BaselineB_cluster_30d,2005-12-30,2006-01-13,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1248.2900390625,12.069999694824219,34.3
BaselineB_cluster_30d,2005-12-30,2006-01-13,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1248.2900390625,12.069999694824219,34.3
