entry_date,exit_date,strategy,exit_pnl,contracts,total_bp,entry_spx,entry_vix,dte_at_entry,hold_days,exit_reason,spread_width,pnl_per_contract,bp_per_contract
2015-09-23,2015-10-15,Iron Condor (High Vol),3356.1131728568826,3.1995,21000.0,1938.760009765625,22.1299991607666,45,16,50pct_profit,83.0,1048.949264840407,6563.525550867323
2015-10-16,2015-10-29,Bull Put Spread,4929.080956850017,5.6606,22500.0,2033.1099853515625,15.050000190734863,30,9,roll_21dte,52.0,870.7700520881209,3974.843656149525
2015-10-30,2015-11-12,Bull Put Spread,-3496.712763168347,5.5512,22500.0,2079.360107421875,15.06999969482422,30,9,roll_21dte,53.0,-629.9021406485709,4053.177691309987
2015-10-13,2015-11-16,Iron Condor,3068.6716149031236,4.1838,22500.0,2003.68994140625,17.670000076293945,45,24,roll_21dte,68.0,733.4651787616816,5377.886132224294
2015-11-25,2015-12-09,Bull Put Spread,-4454.733389395178,5.4476,22500.0,2088.8701171875,15.1899995803833,30,9,roll_21dte,54.0,-817.7423800196743,4130.259196710477
2015-12-03,2016-01-08,Iron Condor,-4262.174022501402,3.9623,22500.0,2049.6201171875,18.11000061035156,45,24,roll_21dte,72.0,-1075.6818066530554,5678.520051485249
2016-01-29,2016-03-01,Iron Condor,4123.318266262372,3.7519,22500.0,1940.239990234375,20.200000762939453,45,21,50pct_profit,76.0,1098.9947136817004,5996.9615394866605
2016-02-16,2016-03-10,Iron Condor (High Vol),1381.011984642844,1.8042,21000.0,1895.5799560546875,24.11000061035156,45,17,50pct_profit,129.0,765.4428470473584,11639.507815098104
2016-02-17,2016-03-10,Iron Condor (High Vol),1372.0219078155687,1.8726,21000.0,1926.8199462890625,22.309999465942383,45,16,50pct_profit,124.0,732.6828515516228,11214.354373598206
2016-03-11,2016-03-24,Bull Put Spread,2875.9939187435252,5.1764,22500.0,2022.18994140625,16.5,30,9,roll_21dte,57.0,555.5973106296896,4346.650181593385
2016-03-28,2016-04-08,Bull Put Spread,1794.79126563058,5.5474,22500.0,2037.050048828125,15.239999771118164,30,9,roll_21dte,53.0,323.5373806883549,4055.9541406785165
2016-03-24,2016-04-28,Bull Call Diagonal,4711.810185806637,2.3261,22500.0,2035.93994140625,14.739999771118164,45,24,roll_21dte,0.0,2025.6266651505252,9672.842956020808
2016-05-02,2016-05-19,Bull Call Diagonal,-3377.4914028453013,2.2841,22500.0,2081.429931640625,14.68000030517578,45,13,trend_flip,0.0,-1478.6968183727952,9850.70706186244
2016-05-17,2016-06-21,Iron Condor,1921.7497666034192,4.6857,22500.0,2047.2099609375,15.56999969482422,45,24,roll_21dte,61.0,410.1307737591863,4801.843908060696
2016-06-22,2016-07-07,Iron Condor,4515.066874510443,3.3055,22500.0,2085.449951171875,21.170000076293945,45,10,50pct_profit,86.0,1365.9255406172874,6806.837089698986
2016-07-07,2016-08-10,Iron Condor,3225.3748714289736,4.9356,22500.0,2097.89990234375,14.760000228881836,45,24,roll_21dte,58.0,653.491950609647,4558.7162654996355
2016-08-10,2016-09-09,Bull Call Diagonal,-2089.483079088999,2.6232,22500.0,2175.489990234375,12.050000190734863,45,21,trend_flip,0.0,-796.5397526261813,8577.310155535224
2016-10-03,2016-11-04,Iron Condor,-3662.19776679237,5.109,22500.0,2161.199951171875,13.56999969482422,45,24,roll_21dte,56.0,-716.813029319313,4403.992953611274
2016-11-09,2016-12-14,Bull Call Diagonal,8923.611608553856,2.2391,22500.0,2163.260009765625,14.380000114440918,45,24,roll_21dte,0.0,3985.356441674716,10048.680273324104
2016-12-14,2017-01-20,Bull Call Diagonal,1437.7196365222244,2.335,22500.0,2253.280029296875,13.1899995803833,45,24,roll_21dte,0.0,615.7257543992396,9635.974304068523
2017-01-20,2017-02-24,Bull Call Diagonal,10172.921418761696,2.6103,22500.0,2271.31005859375,11.539999961853027,45,24,roll_21dte,0.0,3897.223084994712,8619.698885185611
2017-02-24,2017-03-30,Bull Call Diagonal,-120.056591448707,2.5234,22500.0,2367.340087890625,11.470000267028809,45,24,roll_21dte,0.0,-47.57731293045375,8916.54117460569
2017-03-30,2017-04-12,Bull Call Diagonal,-207.26573755553824,2.5045,22500.0,2368.06005859375,11.539999961853027,45,9,trend_flip,0.0,-82.75733182493042,8983.829107606309
2017-04-24,2017-05-17,Bull Call Diagonal,748.2792100130193,2.6626,22500.0,2374.14990234375,10.84000015258789,45,17,trend_flip,0.0,281.03327950612913,8450.386839930896
2017-05-19,2017-06-23,Bull Call Diagonal,6123.918088777897,2.3897,22500.0,2381.72998046875,12.039999961853027,45,24,roll_21dte,0.0,2562.630492855964,9415.407791773026
2017-06-23,2017-07-28,Bull Call Diagonal,4339.044718550974,2.7968,22500.0,2438.300048828125,10.020000457763672,45,24,roll_21dte,0.0,1551.4318930745758,8044.908466819222
2017-07-28,2017-08-10,Bull Call Diagonal,-96.53260970176451,2.6831,22500.0,2472.10009765625,10.289999961853027,45,9,trend_flip,0.0,-35.97801412610954,8385.82236964705
2017-08-14,2017-08-17,Bull Call Diagonal,-1631.1875205905508,2.2785,22500.0,2465.840087890625,12.329999923706056,45,3,trend_flip,0.0,-715.9041126138032,9874.917709019091
2017-08-22,2017-09-21,Iron Condor,3855.0399180977543,5.5316,22500.0,2452.510009765625,11.350000381469728,45,21,50pct_profit,52.0,696.9122709700184,4067.539229156121
2017-09-21,2017-10-25,Bull Call Diagonal,7205.941679671574,2.8019,22500.0,2500.60009765625,9.670000076293944,45,24,roll_21dte,0.0,2571.8054461870784,8030.265177201185
