variant,entry_date,exit_date,strategy,pnl,max_loss,n_contracts,pnl_source
V1b_weekly_catchup,2007-05-01,2007-05-15,Bull Call Diagonal,-24208.357056881145,103983.82269856828,3,bootstrap
V1b_weekly_catchup,2007-05-07,2007-05-21,Bull Call Diagonal,-24208.357056881145,103983.82269856828,3,bootstrap
V1b_weekly_catchup,2007-05-14,2007-05-28,Bull Call Diagonal,35815.19134950673,92599.9909792209,3,bootstrap
V1b_weekly_catchup,2007-05-21,2007-06-04,Bull Call Diagonal,-10891.485675781014,96148.28327870119,3,engine_d+0
V1b_weekly_catchup,2007-05-29,2007-06-12,Bull Call Diagonal,31745.477007303587,87600.58852372666,3,bootstrap
V1b_weekly_catchup,2007-06-04,2007-06-18,Bull Call Diagonal,21854.582454665633,91533.25562272215,3,bootstrap
V1b_weekly_catchup,2007-06-18,2007-07-02,Bull Call Diagonal,-19529.212656640226,81749.94754743222,3,bootstrap
V1b_weekly_catchup,2007-06-25,2007-07-09,Iron Condor,9751.257920441092,58775.48191807703,3,bootstrap
V1b_weekly_catchup,2007-07-10,2007-07-24,Iron Condor,4667.527151764792,75454.67660982267,3,bootstrap
V1b_weekly_catchup,2007-08-08,2007-08-22,Iron Condor,6632.878383427496,76847.86456696197,3,engine_d+0
V1b_weekly_catchup,2007-08-20,2007-09-03,Iron Condor (High Vol),10627.937456362779,154538.78641081008,3,engine_d+0
V1b_weekly_catchup,2007-08-27,2007-09-10,Iron Condor (High Vol),-15469.809391170991,79432.94610853365,3,bootstrap
V1b_weekly_catchup,2007-11-13,2007-11-27,Iron Condor (High Vol),9633.78533208834,136615.88834249025,3,engine_d+0
V1b_weekly_catchup,2007-11-19,2007-12-03,Iron Condor (High Vol),-14701.741245040059,77651.80709886998,3,bootstrap
V1b_weekly_catchup,2007-11-28,2007-12-12,Iron Condor (High Vol),12953.792839478843,168913.57231931633,3,bootstrap
V1b_weekly_catchup,2007-12-03,2007-12-17,Iron Condor (High Vol),16185.081066951054,98329.25261341788,3,bootstrap
V1b_weekly_catchup,2007-12-10,2007-12-24,Iron Condor,9957.219977955021,56263.00049870403,3,bootstrap
V1b_weekly_catchup,2007-12-31,2008-01-14,Iron Condor (High Vol),-16426.07562299673,76599.45348022865,3,engine_d+0
V1b_weekly_catchup,2008-01-14,2008-01-28,Iron Condor (High Vol),9068.504164609927,82459.90851626993,3,bootstrap
V1b_weekly_catchup,2008-01-28,2008-02-11,Iron Condor (High Vol),16185.081066951054,98329.25261341788,3,bootstrap
