candidate,trigger_date,lookback_days,booster_active_in_window,vix_20_22_booster_days,incremental_pnl_usd,incremental_pct_nlv,has_second_leg_next_20d,severity,failed_benign,window_type
B2_moderate_85,2002-05-23,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-05-24,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-05-28,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-05-29,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-05-30,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-05-31,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-03,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-04,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-05,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-06,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-07,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-10,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-11,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-12,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-13,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-14,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-17,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-18,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-19,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-20,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-21,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-24,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-25,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-26,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-27,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-06-28,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-01,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-02,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-03,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-05,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-08,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-09,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-10,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-11,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-12,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-15,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-16,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-17,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-18,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-19,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-22,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-23,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-24,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-25,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-26,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-29,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-30,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-07-31,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-01,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-02,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-05,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-06,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-07,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-08,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-09,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-12,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-13,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-14,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-15,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-16,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-19,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-20,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-21,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-22,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-23,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-26,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-27,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-28,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-29,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-08-30,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-09-03,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-09-04,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-09-05,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-09-06,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-09-09,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-09-10,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-09-11,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-09-12,10,0,0,0.0,0.0,True,acute,False,10d_primary
