entry_date,exit_date,strategy,family,hv,era,entry_delta_pershare,contracts,exit_pnl,delta_pnl,residual,fidelity_err
2018-04-20,2018-05-09,Iron Condor,IC,nonHV,pre2020,0.0006,11.083,13273.23,2967.49,10305.73,0.0
2018-05-09,2018-06-13,Bull Call Diagonal,BCD,nonHV,pre2020,0.3998,1.8726,6734.71,5791.78,942.94,0.0
2018-06-13,2018-06-27,Bull Call Diagonal,BCD,nonHV,pre2020,0.4,1.886,-3073.88,-6023.81,2949.93,0.0
2018-07-06,2018-08-09,Bull Call Diagonal,BCD,nonHV,pre2020,0.3994,1.8377,7817.63,7169.69,647.94,0.0
2018-08-09,2018-09-13,Bull Call Diagonal,BCD,nonHV,pre2020,0.3999,2.0905,5179.29,4103.39,1075.9,0.0
2018-09-13,2018-10-10,Bull Call Diagonal,BCD,nonHV,pre2020,0.3994,1.8802,-2088.92,-9186.12,7097.2,0.0
2018-10-18,2018-11-07,Iron Condor,IC,nonHV,pre2020,-0.002,8.754,12181.34,5666.64,6514.7,0.0
2018-11-07,2018-12-13,Iron Condor,IC,nonHV,pre2020,0.0015,10.9829,-13209.91,-2567.44,-10642.47,0.0
2018-12-26,2019-01-10,Iron Condor (High Vol),IC,HV,pre2020,-0.0406,3.4096,5180.1,-1117.96,6298.07,0.0
2018-12-27,2019-01-11,Iron Condor (High Vol),IC,HV,pre2020,-0.0397,3.4391,5922.42,-462.38,6384.79,0.0
2019-01-31,2019-02-13,Bull Put Spread,BPS,nonHV,pre2020,0.1499,12.9379,13204.26,10073.73,3130.53,0.0
2019-01-10,2019-02-14,Iron Condor,IC,nonHV,pre2020,-0.0032,9.5366,6197.75,-5960.36,12158.12,0.0
2019-02-13,2019-02-27,Bull Put Spread,BPS,nonHV,pre2020,0.1513,13.2642,12064.57,7881.21,4183.35,0.0
2019-03-06,2019-03-19,Bull Put Spread,BPS,nonHV,pre2020,0.1509,13.0646,16612.7,11572.84,5039.87,0.0
2019-02-27,2019-04-02,Bull Call Diagonal,BCD,nonHV,pre2020,0.401,1.6581,5847.65,6296.9,-449.25,0.0
2019-04-02,2019-05-07,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,1.7678,3954.34,1715.45,2238.89,0.0
2019-05-22,2019-06-26,Iron Condor,IC,nonHV,pre2020,-0.0,12.0788,8821.23,4635.23,4186.0,0.0
2019-06-18,2019-07-01,Bull Put Spread,BPS,nonHV,pre2020,0.1508,12.8872,13145.6,9683.63,3461.97,0.0
2019-07-01,2019-08-05,Bull Call Diagonal,BCD,nonHV,pre2020,0.3991,1.6349,-2103.14,-8565.58,6462.44,0.0
2019-08-15,2019-09-16,Iron Condor,IC,nonHV,pre2020,-0.0013,7.9231,11668.73,-1847.68,13516.41,0.0
2019-09-05,2019-09-18,Bull Put Spread,BPS,nonHV,pre2020,0.1495,11.9841,12246.56,5706.53,6540.02,0.0
2019-09-18,2019-10-02,Bull Call Diagonal,BCD,nonHV,pre2020,0.4007,1.6197,-4065.41,-7446.42,3381.02,0.0
2019-10-11,2019-11-14,Bull Call Diagonal,BCD,nonHV,pre2020,0.4002,1.4842,8571.08,8314.88,256.19,0.0
2019-11-14,2019-12-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3997,1.6758,8099.51,7390.65,708.86,0.0
2019-12-19,2020-01-27,Bull Call Diagonal,BCD,nonHV,pre2020,0.4006,1.6838,5200.78,3181.87,2018.91,0.0
2020-02-06,2020-02-24,Bull Call Diagonal,BCD,nonHV,post2020,0.3984,1.3697,-1500.1,-6529.39,5029.29,0.0
2020-03-02,2020-04-03,Iron Condor (High Vol),IC,HV,post2020,-0.0415,2.4014,-6721.3,3018.52,-9739.82,0.0
2020-03-04,2020-04-07,Iron Condor (High Vol),IC,HV,post2020,-0.0407,2.5394,-4324.87,5323.42,-9648.29,0.0
2020-04-27,2020-05-11,Bull Put Spread (High Vol),BPS,HV,post2020,0.0998,6.1135,9726.01,4547.05,5178.96,0.0
2020-05-11,2020-05-27,Bull Put Spread (High Vol),BPS,HV,post2020,0.0997,7.0248,9224.8,8236.67,988.12,0.0
2020-05-27,2020-06-05,Bull Put Spread (High Vol),BPS,HV,post2020,0.1004,6.7507,11428.19,8573.23,2854.96,0.0
