entry_date,exit_date,exit_pnl,exit_reason,entry_credit,contracts,pnl_pct,hold_days,gate
2008-04-10,2008-04-23,3330.6076738807415,roll_21dte,-12.07298163029887,5.9324,46.50273673104897,9,nnb_vix_rising
2011-03-07,2011-03-18,-3573.5473038674554,roll_21dte,-11.030828796281298,6.4342,-50.34969392259736,9,nnb_vix_rising
2011-12-22,2012-01-06,3467.0983653659946,roll_21dte,-10.889293371022802,6.5962,48.26948326756179,9,nnb_vix_rising
2012-02-10,2012-02-24,4369.717994647904,roll_21dte,-11.26177273540614,6.2958,61.63050522321314,9,nnb_vix_rising
2012-03-06,2012-03-19,6772.271326996436,roll_21dte,-11.353262231125285,6.3119,94.50473546676113,9,nnb_vix_rising
2015-10-16,2015-10-29,4929.080956850017,roll_21dte,-12.251367880885141,5.6606,71.0753330203002,9,nnb_vix_rising
2015-10-30,2015-11-12,-3496.712763168347,roll_21dte,-12.46805018122734,5.5512,-50.5213029698092,9,nnb_vix_rising
2015-11-25,2015-12-09,-4454.733389395178,roll_21dte,-12.697716560739536,5.4476,-64.40074292948681,9,nnb_vix_rising
2016-03-11,2016-03-24,2875.9939187435252,roll_21dte,-13.53327157765625,5.1764,41.05417580971284,9,nnb_vix_rising
2016-03-28,2016-04-08,1794.79126563058,roll_21dte,-12.440173027536787,5.5474,26.007466292646647,9,nnb_vix_rising
2019-01-31,2019-02-13,3961.278369323084,roll_21dte,-18.03058598994926,3.8814,56.60269629963576,9,nnb_vix_rising
2019-02-13,2019-02-27,3619.3700066798065,roll_21dte,-17.456862722298126,3.9793,52.10268502347992,9,nnb_vix_rising
2019-03-06,2019-03-19,4983.810212275973,roll_21dte,-17.593159839023144,3.9194,72.27665732712825,9,nnb_vix_rising
2019-06-18,2019-07-01,3943.6795900632183,roll_21dte,-17.802877794892368,3.8662,57.29636834102719,9,nnb_vix_rising
2019-09-05,2019-09-18,3673.9671205086643,roll_21dte,-19.416981724771233,3.5952,52.629650794284956,9,nnb_vix_rising
2020-08-17,2020-08-27,3158.5196098353445,roll_up,-29.21400595454986,2.4514,44.10403076010604,8,nnb_vix_rising
2021-08-18,2021-08-31,5685.514127077956,roll_21dte,-38.56405207381192,1.8682,78.91575477718771,9,nnb_vix_rising
2022-07-29,2022-08-11,3620.8044205127107,roll_21dte,-35.72515970767188,2.004,50.574683158165755,9,nnb_vix_rising
2024-02-13,2024-02-27,5341.765091369828,roll_21dte,-31.988552371814876,2.1632,77.19577376153565,9,nnb_vix_rising
2025-01-21,2025-02-03,-2170.330783147909,roll_21dte,-36.53365443744144,1.8993,-31.27801945944544,9,nnb_vix_rising
2025-02-06,2025-02-20,1836.1562113912612,roll_21dte,-37.908441640884234,1.8279,26.498498240144425,9,nnb_vix_rising
2025-02-20,2025-03-05,-9379.84780896749,roll_21dte,-38.49281686059999,1.8071,-134.8447096641332,9,nnb_vix_rising
2025-06-03,2025-06-16,1965.8915569569363,roll_21dte,-42.97823130875622,1.6302,28.05886695255516,9,nnb_vix_rising
2025-07-07,2025-07-18,3130.723981219288,roll_21dte,-44.429723795616496,1.5782,44.64873177739017,9,nnb_vix_rising
2025-09-02,2025-09-15,5283.379849982048,roll_21dte,-44.36588519031886,1.5775,75.49067638522986,9,nnb_vix_rising
2025-09-25,2025-10-08,4214.149401538303,roll_21dte,-44.31968307518616,1.577,60.2950401705021,9,nnb_vix_rising
2025-12-09,2025-12-22,3168.2871026331804,roll_21dte,-46.43283201255247,1.4943,45.66269713841822,9,nnb_vix_rising
2026-04-17,2026-04-30,2938.4374384550797,roll_21dte,-50.107544892465285,1.3984,41.93550807759233,9,nnb_vix_rising
2026-04-30,2026-05-13,4588.205711726974,roll_21dte,-48.890850960438456,1.4321,65.53026739860812,9,nnb_vix_rising
2026-05-14,2026-05-28,2910.9384064881147,roll_21dte,-52.04169420772746,1.3396,41.75480413214887,9,nnb_vix_rising
2026-06-22,2026-07-06,3042.065292265411,roll_21dte,-51.84063184185629,1.346,43.59665663308474,9,nnb_vix_rising
2026-07-08,2026-07-21,1488.0294704769778,roll_21dte,-50.75000941489088,1.3783,21.27314249723788,9,nnb_vix_rising
2011-06-06,2011-07-11,3203.083916722974,roll_21dte,-9.654672521004628,6.0249,55.06566982036355,24,nnbe_vix_rising
2012-12-04,2013-01-08,3732.9052191479304,profit_target,-9.74778567893091,6.0399,63.40320953330843,23,nnbe_vix_rising
