date,ivp,vix,trend,anchor_spx,fwd_21d_ret,fwd_21d_dir,fwd_34d_ret,fwd_34d_dir,fwd_60d_ret,fwd_60d_dir
2015-03-18,MID,13.97,BULLISH,2099.5,-0.0084,FLAT,-0.0011,FLAT,0.0141,UP
2015-03-19,MID,14.07,BULLISH,2089.27,0.0009,FLAT,0.0089,FLAT,0.0191,UP
2015-03-20,MID,13.02,BULLISH,2108.1,-0.0029,FLAT,0.0023,FLAT,0.0094,FLAT
2015-03-23,MID,13.41,BULLISH,2104.42,-0.0057,FLAT,0.0021,FLAT,0.0103,UP
2015-03-24,MID,13.62,BULLISH,2091.5,0.0021,FLAT,0.0083,FLAT,0.0061,FLAT
2015-03-30,MID,14.51,BULLISH,2086.24,0.0068,FLAT,0.0135,UP,0.0101,UP
2015-04-09,MID,13.09,BULLISH,2091.18,-0.0027,FLAT,0.0035,FLAT,-0.0057,FLAT
2015-04-10,LOW,12.58,BULLISH,2102.06,0.003,FLAT,0.0091,FLAT,-0.0104,DOWN
2015-04-13,MID,13.94,BULLISH,2092.43,0.0105,UP,0.0176,UP,0.0008,FLAT
2015-04-14,MID,13.67,BULLISH,2095.84,-0.003,FLAT,0.0159,UP,-0.0054,FLAT
2015-04-15,LOW,12.84,BULLISH,2106.63,-0.0126,DOWN,0.0101,UP,-0.0105,DOWN
2015-04-16,LOW,12.6,BULLISH,2104.99,-0.0081,FLAT,0.0099,FLAT,-0.0098,FLAT
2015-04-20,MID,13.3,BULLISH,2100.4,0.0023,FLAT,0.0018,FLAT,0.0046,FLAT
2015-04-21,MID,13.25,BULLISH,2097.29,0.0009,FLAT,0.0033,FLAT,0.0122,UP
2015-04-22,LOW,12.71,BULLISH,2107.96,-0.0045,FLAT,-0.0018,FLAT,0.0071,FLAT
2015-04-23,LOW,12.48,BULLISH,2112.93,0.0039,FLAT,0.005,FLAT,0.0047,FLAT
2015-04-24,LOW,12.29,BULLISH,2117.69,0.0024,FLAT,0.0015,FLAT,0.0031,FLAT
2015-04-27,MID,13.12,BULLISH,2108.92,0.0096,FLAT,0.0013,FLAT,-0.0035,FLAT
2015-04-28,LOW,12.41,BULLISH,2114.76,0.0062,FLAT,-0.0014,FLAT,-0.027,DOWN
2015-04-29,MID,13.39,BULLISH,2106.85,0.009,FLAT,0.0013,FLAT,-0.0234,DOWN
2015-05-01,LOW,12.7,BULLISH,2108.29,0.0084,FLAT,-0.0059,FLAT,-0.0214,DOWN
2015-05-04,MID,12.85,BULLISH,2114.49,-0.0049,FLAT,-0.0167,DOWN,-0.0216,DOWN
2015-05-08,MID,12.86,BULLISH,2116.1,-0.0041,FLAT,-0.0034,FLAT,-0.0164,DOWN
2015-05-11,MID,13.85,BULLISH,2105.33,0.003,FLAT,-0.0099,FLAT,-0.0136,DOWN
2015-05-14,LOW,12.74,BULLISH,2121.1,-0.0119,DOWN,-0.0097,FLAT,-0.0101,DOWN
2015-05-15,LOW,12.38,BULLISH,2122.73,-0.0141,DOWN,-0.0007,FLAT,-0.0065,FLAT
2015-05-18,LOW,12.73,BULLISH,2129.2,-0.0234,DOWN,-0.003,FLAT,-0.0012,FLAT
2015-05-19,MID,12.85,BULLISH,2127.83,-0.0224,DOWN,-0.0023,FLAT,0.0002,FLAT
2015-05-20,MID,12.88,BULLISH,2125.85,-0.0097,FLAT,-0.0008,FLAT,0.0011,FLAT
2015-05-21,LOW,12.11,BULLISH,2130.82,-0.0103,DOWN,-0.0104,DOWN,-0.0012,FLAT
2015-05-22,LOW,12.13,BULLISH,2126.06,-0.015,DOWN,-0.0112,DOWN,-0.0032,FLAT
2015-05-27,MID,13.27,BULLISH,2123.48,-0.0109,DOWN,-0.0284,DOWN,-0.0263,DOWN
2015-05-28,MID,13.31,BULLISH,2120.79,0.0002,FLAT,-0.0204,DOWN,-0.0251,DOWN
2015-06-01,MID,13.97,BULLISH,2111.73,0.0053,FLAT,-0.0203,DOWN,-0.0037,FLAT
2015-06-02,MID,14.24,BULLISH,2109.6,0.0069,FLAT,-0.0194,DOWN,-0.0055,FLAT
2015-06-03,MID,13.66,BULLISH,2114.07,-0.0026,FLAT,-0.0155,DOWN,-0.0076,FLAT
2015-06-18,MID,13.19,BULLISH,2121.24,-0.033,DOWN,-0.0033,FLAT,-0.0089,FLAT
2015-06-22,LOW,12.74,BULLISH,2122.85,-0.011,DOWN,-0.026,DOWN,-0.0716,DOWN
2015-06-23,LOW,12.11,BULLISH,2124.2,-0.0072,FLAT,-0.0266,DOWN,-0.1087,DOWN
2015-07-16,LOW,12.11,BULLISH,2124.29,-0.0192,DOWN,-0.021,DOWN,-0.0806,DOWN
2015-07-17,LOW,11.95,BULLISH,2126.64,-0.0231,DOWN,-0.0427,DOWN,-0.0699,DOWN
2015-07-20,LOW,12.25,BULLISH,2128.28,-0.0113,DOWN,-0.1105,DOWN,-0.08,DOWN
2015-07-21,LOW,12.22,BULLISH,2119.21,-0.0166,DOWN,-0.1066,DOWN,-0.0718,DOWN
2015-07-22,LOW,12.12,BULLISH,2114.15,-0.0133,DOWN,-0.1166,DOWN,-0.0696,DOWN
2015-10-19,MID,14.98,BULLISH,2033.66,0.0221,UP,0.026,UP,-0.0138,DOWN
